Employee_No,Title,Gender,Marital_Status,Date_Joined,Date_Resigned,Status,Employment_Category,Employment_Type,Religion,Designation,Year_of_Birth,Hourly_Time,Late_minutes,Type_Full Day,Type_Half Day,apply_type_Anual,apply_type_Casual,Earnings,Total Fixed,Year_Joined,Resigned_Age,Worked_Duration
606,Mr,Male,Married,2019-12-04,,Active,Staff,Contarct Basis,Buddhist,Store Keeper,1996,13.512476340694006,41.53178233438486,,,,,46761.21352941176,32529.41176470588,2019,,
607,Ms,Female,Single,2019-12-04,2021-05-03,Inactive,Staff,Contarct Basis,Buddhist,Planning Engineer,1993,9.43872340425532,25.81560283687943,,,,,,,2019,28.0,2.0
608,Mr,Male,Single,2019-12-10,2021-03-14,Inactive,Staff,Contarct Basis,Hindu,Technical Officer,1994,9.463478260869564,0.3789855072463767,,,,,,,2019,27.0,2.0
609,Ms,Female,Married,2019-12-26,2020-07-31,Inactive,Staff,Contarct Basis,Buddhist,HR Executive,1986,,,,,,,,,2019,34.0,1.0
610,Mr,Male,Married,2019-12-30,2022-09-12,Inactive,Staff,Contarct Basis,Hindu,Assistance QS,1995,10.543018867924529,8.128197064989518,,,,,50978.57142857143,41785.71428571428,2019,27.0,3.0
611,Mr,Male,Married,2019-12-30,2022-04-30,Inactive,Staff,Contarct Basis,Buddhist,Supervisor,1971,11.577876712328766,13.699029680365298,,,,,47856.25,40000.0,2019,51.0,3.0
614,Mr,Male,Married,2019-07-01,2021-07-31,Inactive,Staff,Contarct Basis,Buddhist,Store Keeper,1946,9.137192982456142,24.719005847953216,,,,,36000.0,36000.0,2019,75.0,2.0
615,Mr,Male,Married,2019-02-26,2021-10-31,Inactive,Staff,Contarct Basis,Buddhist,Site Engineer,1978,11.634699453551914,16.487613843351546,,,,,112348.75,110000.0,2019,43.0,2.0
616,Mr,Male,Single,2019-07-24,2022-02-28,Inactive,Staff,Contarct Basis,Hindu,Quantity Surveyor,1993,14.153358208955224,13.388059701492535,,,,,63938.125,50000.0,2019,29.0,3.0
617,Mr,Male,Single,2019-04-23,2020-09-29,Inactive,Staff,Contarct Basis,Muslim,Site Engineer,1994,,,,,,,,,2019,26.0,1.0
618,Mr,Male,Married,2019-07-24,2022-02-26,Inactive,Staff,Contarct Basis,Buddhist,Safety Officer,1984,10.41431693989071,7.2076502732240435,,,,,54997.81333333333,45000.0,2019,38.0,3.0
619,Mr,Male,Single,2019-07-23,2021-07-30,Inactive,Staff,Contarct Basis,Buddhist,Supervisor,1991,9.80089552238806,26.541293532338308,,,,,22250.0,22250.0,2019,30.0,2.0
620,Mr,Male,Single,2019-07-23,,Active,Staff,Contarct Basis,Buddhist,Supervisor,1993,12.778956692913386,9.928116797900262,,,,,43964.02777777778,35000.0,2019,,
621,Mr,Male,Single,2019-07-01,2021-11-30,Inactive,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1987,8.367195767195767,16.119400352733685,,,,,80000.0,80000.0,2019,34.0,2.0
622,Mr,Male,Single,2019-09-15,2020-11-23,Inactive,Staff,Contarct Basis,Buddhist,Engineer Assistant,1990,,,,,,,,,2019,30.0,1.0
624,Mr,Male,Single,2019-09-15,,Active,Staff,Contarct Basis,Buddhist,QAQC Engineer,1992,9.904058295964123,33.64985052316891,,,,,120161.5811764706,120000.0,2019,,
625,Mr,Male,Married,2018-06-02,2021-02-12,Inactive,Staff,Contarct Basis,Buddhist,Project Manager,1965,0.0,14.54,,,,,,,2018,56.0,3.0
626,Ms,Female,Single,2019-08-26,2021-10-25,Inactive,Staff,Contarct Basis,Buddhist,Draughtsman,1993,8.32036809815951,45.54683026584867,,,,,40807.293333333335,40000.0,2019,28.0,2.0
627,Mr,Male,Single,2019-09-02,,Active,Staff,Contarct Basis,Buddhist,Technical Officer,1990,12.17954356846473,23.87700553250346,,,,,63866.743333333325,52000.0,2019,,
628,Mr,Male,Married,2019-09-12,2022-02-28,Inactive,Staff,Contarct Basis,Buddhist,Project Manager,1981,8.704529616724738,80.03652729384437,,,,,199311.74142857143,144000.0,2019,41.0,3.0
629,Mr,Male,Single,2019-09-16,2022-04-30,Inactive,Staff,Contarct Basis,Buddhist,Draughtsman,1993,9.272969283276453,12.593856655290102,,,,,59801.5625,50000.0,2019,29.0,3.0
630,Mr,Male,Single,2019-08-22,2021-04-30,Inactive,Staff,Contarct Basis,Buddhist,Supervisor,1989,9.655853658536586,0.0,,,,,,,2019,32.0,2.0
631,Mr,Male,Single,2018-12-26,2020-10-31,Inactive,Staff,Contarct Basis,Buddhist,Site Engineer,1992,,,,,,,,,2018,28.0,2.0
633,Mr,Male,Married,2019-07-08,2020-08-30,Inactive,Staff,Contarct Basis,Buddhist,Site Engineer,1990,,,,,,,,,2019,30.0,1.0
634,Mr,Male,Married,2019-09-01,,Active,Staff,Contarct Basis,Buddhist,Safety Officer,1971,12.002609400324149,49.570907617504055,,,,,61795.49647058823,47529.41176470588,2019,,
635,Mr,Male,Single,2019-09-16,2020-11-30,Inactive,Staff,Contarct Basis,Hindu,Supervisor,1996,,,,,,,,,2019,24.0,1.0
636,Mr,Male,Single,2019-09-16,,Active,Staff,Contarct Basis,Hindu,Engineer Assistant,1994,12.5722792022792,55.50750237416904,,,,,68680.05529411764,54882.35294117647,2019,,
638,Mr,Male,Married,2019-09-26,2020-09-17,Inactive,Staff,Contarct Basis,Buddhist,Technical Officer,1989,,,,,,,,,2019,31.0,1.0
639,Mr,Male,Single,2019-10-14,2022-10-10,Inactive,Staff,Contarct Basis,Hindu,Technical Officer,1989,11.725978647686834,45.37366548042704,,,,,81605.0,65033.333333333336,2019,33.0,3.0
640,Mr,Male,Married,2019-09-26,2020-06-30,Inactive,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1966,,,,,,,,,2019,54.0,1.0
641,Mr,Male,Married,2019-10-01,2020-07-31,Inactive,Staff,Contarct Basis,Buddhist,Technical Officer,1987,,,,,,,,,2019,33.0,1.0
642,Mr,Male,Married,2019-10-10,2021-04-30,Inactive,Staff,Contarct Basis,Hindu,Store Keeper,1952,12.643333333333333,8.333333333333334,,,,,,,2019,69.0,2.0
643,Mr,Male,Married,2019-06-29,2020-10-15,Inactive,Staff,Contarct Basis,Hindu,Technical Officer,1985,,,,,,,,,2019,35.0,1.0
644,Mr,Male,Single,2019-10-21,2022-05-14,Inactive,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1996,11.277090395480226,15.170951035781544,,,,,31015.75,30000.0,2019,26.0,3.0
645,Mr,Male,Single,2019-10-28,2022-01-23,Inactive,Staff,Contarct Basis,Hindu,Site Engineer,1987,9.675540069686411,14.046283391405344,,,,,164410.41666666666,160000.0,2019,35.0,3.0
646,Mr,Male,Married,2019-11-06,,Active,Staff,Contarct Basis,Hindu,Engineer Assistant,1987,12.15301824212272,51.101160862354895,,,,,75756.61764705883,60000.0,2019,,
649,Mr,Male,Married,2019-11-18,2020-11-17,Inactive,Staff,Contarct Basis,Catholic,Project Manager,1971,,,,,,,,,2019,49.0,1.0
650,Mr,Male,Married,2019-11-19,,Active,Staff,Contarct Basis,Buddhist,Safety Officer,1968,10.214372549019608,44.68990196078431,,,,,63320.66176470588,50000.0,2019,,
651,Mr,Male,Married,2019-11-20,2020-11-20,Inactive,Staff,Contarct Basis,Hindu,Project Manager,1969,,,,,,,,,2019,51.0,1.0
652,Mr,Male,Married,2019-11-20,2020-10-10,Inactive,Staff,Contarct Basis,Hindu,Site Engineer,1987,,,,,,,,,2019,33.0,1.0
653,Mr,Male,Married,2019-11-25,,Active,Staff,Contarct Basis,Buddhist,Store Keeper,1976,9.408662674650698,17.35352628077179,,,,,43065.92705882353,34000.0,2019,,
654,Mr,Male,Married,2019-11-20,2020-07-31,Inactive,Staff,Contarct Basis,Buddhist,Safety Officer,1969,,,,,,,,,2019,51.0,1.0
655,Mr,Male,Single,2019-11-22,2020-03-14,Inactive,Staff,Contarct Basis,Buddhist,Lab Technician,1981,,,,,,,,,2019,39.0,1.0
656,Mr,Male,Married,2019-11-25,2021-09-07,Inactive,Staff,Contarct Basis,Buddhist,Operator-Excavator,1992,10.124363636363636,37.9364393939394,,,,,50328.44,41250.0,2019,29.0,2.0
658,Mr,Male,Married,2019-12-02,2020-09-30,Inactive,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1988,,,,,,,,,2019,32.0,1.0
659,Mr,Male,Married,2005-11-28,,Active,Staff,Contarct Basis,Hindu,Quantity Surveyor,1981,10.899802197802195,46.152307692307694,,,,,86392.39529411764,68335.29411764706,2005,,
660,Mr,Male,Married,2018-12-01,2020-08-22,Inactive,Staff,Contarct Basis,Buddhist,Tractor Driver,1978,6.132857142857143,73.76613756613756,,,,,,,2018,42.0,2.0
662,Mr,Male,Single,2019-01-04,2021-08-31,Inactive,Staff,Contarct Basis,Buddhist,Site Engineer-Trainee,1993,9.671028571428572,9.916095238095238,,,,,48406.555,40250.0,2019,28.0,2.0
663,Mr,Male,Single,2019-05-02,2020-07-21,Inactive,Staff,Contarct Basis,Buddhist,Store Keeper,1993,,,,,,,,,2019,27.0,1.0
664,Mr,Male,Married,2019-07-15,,Active,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1988,10.646192560175056,43.7661196207148,31.0,12.0,19.0,24.0,99272.48294117648,79588.23529411765,2019,,
665,Mr,Male,Single,2018-06-18,2020-08-30,Inactive,Staff,Contarct Basis,Buddhist,Store Keeper,1994,,,,,,,,,2018,26.0,2.0
666,Mr,Male,Married,2018-10-17,2020-02-29,Inactive,Staff,Contarct Basis,Buddhist,Driver - cab,1985,,,,,,,,,2018,35.0,2.0
667,Mr,Male,Married,2019-06-03,2021-10-21,Inactive,Staff,Contarct Basis,Buddhist,Project Manager,1983,8.136612021857923,47.98734061930784,,,,,153221.66666666666,140000.0,2019,38.0,2.0
668,Mr,Male,Single,2017-03-20,2021-08-08,Inactive,Staff,Contarct Basis,Buddhist,Engineer Assistant,1986,11.919920634920636,30.119973544973547,,,,,57552.0,57000.0,2017,35.0,4.0
670,Mr,Male,Married,2019-09-12,2020-09-28,Inactive,Staff,Contarct Basis,Buddhist,Technical Officer,1987,,,,,,,,,2019,33.0,1.0
671,Mr,Male,Single,2019-05-15,2021-08-12,Inactive,Staff,Contarct Basis,Hindu,Project Manager,1991,8.64993006993007,60.19417249417249,,,,,128532.5,90000.0,2019,30.0,2.0
672,Mr,Male,Married,2019-11-01,2020-07-06,Inactive,Staff,Contarct Basis,Muslim,Driver,1976,,,,,,,,,2019,44.0,1.0
673,Mr,Male,Married,2019-11-18,,Active,Staff,Contarct Basis,Muslim,Resident Engineer,1978,10.36581300813008,15.137737127371274,,,,,179943.75,135000.0,2019,,
674,Mr,Male,Married,2016-11-29,2020-09-30,Inactive,Staff,Contarct Basis,Buddhist,Draughtsman,1978,,,,,,,,,2016,42.0,4.0
675,Mr,Male,Married,2017-12-16,2020-09-15,Inactive,Staff,Contarct Basis,Buddhist,Driver-Tractor,1980,,,,,,,,,2017,40.0,3.0
676,Mr,Male,Single,2019-04-22,2020-04-30,Inactive,Labour,Contarct Basis,Buddhist,Unskilled Labor,1958,,,,,,,,,2019,62.0,1.0
677,Mr,Male,Married,2019-01-01,2021-06-30,Inactive,Labour,Contarct Basis,Buddhist,Fitter,1976,8.444166666666666,0.8333333333333334,,,,,22335.875,0.0,2019,45.0,2.0
678,Mr,Male,Single,2019-01-01,2020-12-28,Inactive,Labour,Contarct Basis,Buddhist,Unskilled Labor,1993,,,,,,,7760.8,0.0,2019,27.0,1.0
680,Mr,Male,Married,2019-01-01,2020-12-31,Inactive,Labour,Contarct Basis,Buddhist,Unskilled Labor,1971,,,,,,,10222.8,0.0,2019,49.0,1.0
682,Mr,Male,Married,2020-12-06,2021-05-31,Inactive,Labour,Contarct Basis,Buddhist,Unskilled Labor,1955,10.584848484848486,0.0,,,,,12314.1,0.0,2020,66.0,1.0
683,Mr,Male,Married,2019-01-01,2020-12-31,Inactive,Labour,Contarct Basis,Buddhist,Fitter,1991,,,,,,,46697.64,0.0,2019,29.0,1.0
684,Mr,Male,Married,1998-06-25,2021-01-16,Inactive,Staff,Permanant,Buddhist,Technical Officer,1978,,,,,,,,,1998,43.0,23.0
685,Mr,Male,Married,2019-01-01,2020-11-28,Inactive,Labour,Contarct Basis,Buddhist,Unskilled Labor,1972,,,,,,,14349.8,0.0,2019,48.0,1.0
686,Mr,Male,Married,2019-02-01,2020-09-30,Inactive,Labour,Contarct Basis,Buddhist,Unskilled Labor,1954,,,,,,,10935.733333333332,0.0,2019,66.0,1.0
689,Mr,Male,Married,2019-06-24,2020-12-31,Inactive,Staff,Contarct Basis,Buddhist,Resident Site Engineer,1959,,,,,,,,,2019,61.0,1.0
690,Mr,Male,Married,2019-06-24,2022-02-10,Inactive,Staff,Contarct Basis,Buddhist,Store Keeper,1974,10.929342105263158,18.72933114035088,,,,,46586.607142857145,35000.0,2019,48.0,3.0
691,Mr,Male,Single,2019-03-07,2020-12-30,Inactive,Staff,Contarct Basis,Buddhist,Technical Officer,1991,,,,,,,,,2019,29.0,1.0
692,Mr,Male,Married,2019-01-08,2020-12-31,Inactive,Staff,Contarct Basis,Buddhist,Project Manager,1987,,,,,,,,,2019,33.0,1.0
693,Mr,Male,Married,2019-03-10,2020-04-02,Inactive,Staff,Contarct Basis,Buddhist,Resident Site Engineer,1955,,,,,,,,,2019,65.0,1.0
695,Mr,Male,Married,2019-02-01,2020-11-25,Inactive,Labour,Contarct Basis,Buddhist,Unskilled Labor,1965,,,,,,,11143.4,0.0,2019,55.0,1.0
697,Mr,Male,Married,2019-05-01,2021-08-31,Inactive,Labour,Contarct Basis,Buddhist,Unskilled Labor,1981,9.392178217821783,8.556105610561056,,,,,13313.8,0.0,2019,40.0,2.0
698,Mr,Male,Married,2020-06-01,,Active,Labour,Contarct Basis,Buddhist,Security,1958,10.091554160125588,0.0,,,,,38354.88,0.0,2020,,
699,Mr,Male,Married,2016-12-22,,Active,Staff,Contarct Basis,Buddhist,Technical Officer,1986,8.993982456140351,45.92938596491228,,,,,63844.0,57029.41176470588,2016,,
700,Mr,Male,Single,2019-09-01,,Active,Labour,Contarct Basis,Buddhist,Security,1991,12.88822608695652,611.1023188405796,,,,,34495.65789473684,0.0,2019,,
701,Mr,Male,Single,2021-01-01,2022-04-07,Inactive,Labour,Contarct Basis,Buddhist,Unskilled Labor,1992,9.92517730496454,9.11063829787234,,,,,27288.4,0.0,2021,30.0,1.0
702,Mr,Male,Married,2019-10-09,2020-11-22,Inactive,Labour,Contarct Basis,Buddhist,Security,1961,,,,,,,0.0,0.0,2019,59.0,1.0
703,Mr,Male,Married,2019-10-10,2021-03-30,Inactive,Labour,Contarct Basis,Buddhist,Security,1981,14.0,600.0,,,,,0.0,0.0,2019,40.0,2.0
709,Mr,Male,Single,2018-06-01,2022-02-24,Inactive,Staff,Contarct Basis,Buddhist,Draughtsman,1994,8.436791666666666,6.7264583333333325,,,,,34068.340000000004,32714.285714285717,2018,28.0,4.0
710,Mr,Male,Single,2020-01-08,2020-11-24,Inactive,Labour,Contarct Basis,Buddhist,Unskilled Labor,1999,,,,,,,23654.8,0.0,2020,21.0,0.0
711,Mr,Male,Married,2018-10-10,2020-06-10,Inactive,Staff,Contarct Basis,Buddhist,Driver,1972,,,,,,,,,2018,48.0,2.0
712,Mr,Male,Single,2018-11-12,2022-06-30,Inactive,Staff,Contarct Basis,Muslim,Design Engineer,1994,7.885401459854014,90.3750608272506,11.0,1.0,0.0,12.0,95596.30727272728,95000.0,2018,28.0,4.0
713,Mr,Male,Single,2019-02-25,,Active,Staff,Contarct Basis,Buddhist,QA/QC Engineer,1993,8.759937369519834,14.418893528183716,,,,,100000.0,100000.0,2019,,
715,Mr,Male,Single,2019-06-10,2021-10-18,Inactive,Staff,Contarct Basis,Buddhist,Site Engineer,1992,8.984639175257731,13.087113402061856,,,,,80321.66666666667,80000.0,2019,29.0,2.0
716,Mr,Male,Married,2020-04-01,2020-12-12,Inactive,Staff,Contarct Basis,Hindu,Project Manager,1962,,,,,,,,,2020,58.0,0.0
717,Miss,Female,Single,2020-07-10,,Active,Staff,Contarct Basis,Buddhist,Data Colector,1993,8.374685138539043,8.137489504617967,,,,,23000.0,23000.0,2020,,
719,Mr,Male,Married,2020-02-02,2021-03-30,Inactive,Labour,Contarct Basis,Buddhist,Unskilled Labor,1958,12.585,0.0,,,,,24600.0,0.0,2020,63.0,1.0
718,Miss,Female,Single,2020-07-03,,Active,Staff,Contarct Basis,Buddhist,Data Colector,1996,8.491126373626374,22.060347985347985,,,,,23000.0,23000.0,2020,,
720,Miss,Female,Single,2018-05-14,2020-09-04,Inactive,Staff,Contarct Basis,Buddhist,Data Colector,1993,,,,,,,,,2018,27.0,2.0
721,Mr,Male,Married,2020-02-03,2020-12-19,Inactive,Labour,Contarct Basis,Buddhist,Unskilled Labor,1967,,,,,,,30524.8,0.0,2020,53.0,0.0
724,Miss,Female,Single,2020-01-01,2021-07-31,Inactive,Staff,Contarct Basis,Buddhist,Technical Officer,1970,7.661799999999999,18.336333333333336,,,,,37500.0,37500.0,2020,51.0,1.0
726,Mr,Male,Married,2020-02-07,2020-08-30,Inactive,Staff,Contarct Basis,Buddhist,Driver,1978,,,,,,,,,2020,42.0,0.0
728,Mr,Male,Married,2020-02-06,2021-05-10,Inactive,Staff,Contarct Basis,Buddhist,Technical Officer,1991,6.0457777777777775,60.390740740740746,,,,,,,2020,30.0,1.0
729,Mr,Male,Married,2020-03-02,2020-06-24,Inactive,Labour,Contarct Basis,Buddhist,Mason,1964,,,,,,,,,2020,56.0,0.0
730,Mr,Male,Single,2018-04-18,2020-12-31,Inactive,Staff,Contarct Basis,Muslim,Supervisor,1993,,,,,,,,,2018,27.0,2.0
731,Mr,Male,Single,2018-11-12,2021-03-22,Inactive,Staff,Contarct Basis,Buddhist,Helper - JCB,2000,11.823,3.748333333333333,,,,,,,2018,21.0,3.0
733,Mr,Male,Married,2019-01-01,2020-07-18,Inactive,Staff,Contarct Basis,Buddhist,Driver - cab,1985,,,,,,,,,2019,35.0,1.0
734,Mr,Male,Married,2019-06-12,2021-02-25,Inactive,Staff,Contarct Basis,Hindu,Site Engineer,1987,7.672380952380952,0.0,,,,,,,2019,34.0,2.0
735,Mr,Male,Single,2020-02-24,2021-07-17,Inactive,Staff,Contarct Basis,Hindu,Engineer Assistant,1991,10.39937984496124,12.542894056847546,,,,,67281.25,55000.0,2020,30.0,1.0
736,Mr,Male,Married,2010-06-07,,Active,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1987,14.005996860282574,56.552276295133446,,,,,95840.08470588236,58729.41176470588,2010,,
737,Mr,Male,Married,2019-11-26,2020-09-15,Inactive,Staff,Contarct Basis,Buddhist,Safety Officer,1976,,,,,,,,,2019,44.0,1.0
738,Mr,Male,Married,2021-01-01,2021-09-30,Inactive,Labour,Contarct Basis,Buddhist,Skilled Labor,1978,9.453642857142857,4.761785714285714,,,,,38555.47142857143,0.0,2021,43.0,0.0
739,Mr,Male,Married,2019-04-02,2021-09-02,Inactive,Labour,Contarct Basis,Buddhist,Unskilled Labor,1971,9.052899408284024,12.94921104536489,,,,,31497.22857142857,0.0,2019,50.0,2.0
740,Mr,Male,Married,2019-04-02,2021-03-24,Inactive,Labour,Contarct Basis,Buddhist,Unskilled Labor,1974,9.77111111111111,0.6944444444444444,,,,,24352.566666666666,0.0,2019,47.0,2.0
741,Mr,Male,Single,2020-06-01,2022-06-28,Inactive,Labour,Contarct Basis,Buddhist,Unskilled Labor,1984,9.982738095238094,3.3520833333333333,,,,,34867.43076923077,0.0,2020,38.0,2.0
742,Mr,Male,Married,2020-12-26,2021-02-27,Inactive,Labour,Contarct Basis,Buddhist,Unskilled Labor,1984,10.758,0.0,,,,,14042.8,0.0,2020,37.0,1.0
743,Mr,Male,Married,2020-12-15,2021-02-25,Inactive,Labour,Contarct Basis,Buddhist,Unskilled Labor,1976,7.67,0.0,,,,,15749.4,0.0,2020,45.0,1.0
744,Mr,Male,Married,2020-09-07,2020-12-31,Inactive,Labour,Contarct Basis,Buddhist,Skilled Labor,1975,,,,,,,19945.88,0.0,2020,45.0,0.0
747,Mr,Male,Single,2017-02-01,,Active,Staff,Contarct Basis,Buddhist,Store Keeper,1994,14.109513343799058,55.09050235478807,,,,,45230.47529411764,21629.41176470588,2017,,
749,Mr,Male,Married,2019-10-01,,Active,Labour,Contarct Basis,Buddhist,Wacher,1951,9.53261329305136,47.73182275931521,,,,,19053.99571428572,0.0,2019,,
750,Mr,Male,Married,2019-12-08,2020-08-31,Inactive,Labour,Contarct Basis,Buddhist,Driver-Tractor,1958,,,,,,,,,2019,62.0,1.0
751,Mr,Male,Married,2020-01-04,2020-04-24,Inactive,Labour,Contarct Basis,Buddhist,Operator - JCB,1978,,,,,,,,,2020,42.0,0.0
752,Mr,Male,Single,2020-02-05,2020-03-17,Inactive,Labour,Contarct Basis,Buddhist,Unskilled Labor,1999,,,,,,,,,2020,21.0,0.0
753,Mr,Male,Married,2007-05-14,2020-02-28,Inactive,Staff,Contarct Basis,Buddhist,Tractor Driver,1963,,,,,,,,,2007,57.0,13.0
754,Mr,Male,Single,2019-01-01,,Active,Labour,Contarct Basis,Buddhist,Unskilled Labor,1996,11.08924369747899,0.0,,,,,17281.663157894734,0.0,2019,,
755,Mr,Male,Married,2019-02-27,,Active,Labour,Contarct Basis,Buddhist,Unskilled Labor,1976,11.56413043478261,0.0,,,,,15830.24,0.0,2019,,
756,Mr,Male,Married,2020-01-01,2020-03-21,Inactive,Labour,Contarct Basis,Hindu,Carpenter,1976,,,,,,,,,2020,44.0,0.0
757,Mr,Male,Married,2020-07-01,2022-04-30,Inactive,Labour,Contarct Basis,Buddhist,Carpenter,1976,11.363880597014925,0.0,,,,,27036.80363636364,0.0,2020,46.0,2.0
758,Ms,Female,Married,2020-02-01,,Active,Labour,Contarct Basis,Buddhist,Cook,1985,11.05916955017301,0.0173010380622837,,,,,21810.526315789477,0.0,2020,,
760,Mr,Male,Married,2020-12-07,,Active,Labour,Contarct Basis,Buddhist,Semi Skilled Labor,1967,11.396469298245616,3.2065058479532165,,,,,32992.520000000004,0.0,2020,,
761,Mr,Male,Single,2020-06-01,2022-05-17,Inactive,Labour,Contarct Basis,Buddhist,Office Assistant,1993,8.886666666666667,5.870679012345679,,,,,22615.261538461546,0.0,2020,29.0,2.0
762,Mr,Male,Married,2019-07-01,2020-12-19,Inactive,Labour,Contarct Basis,Buddhist,Caretaker,1952,,,,,,,0.0,0.0,2019,68.0,1.0
764,Mr,Male,Single,2019-12-28,2020-03-19,Inactive,Labour,Contarct Basis,Buddhist,Unskilled Labor,2003,,,,,,,,,2019,17.0,1.0
765,Mr,Male,Single,2019-12-28,2020-03-19,Inactive,Labour,Contarct Basis,Buddhist,Unskilled Labor,2003,,,,,,,,,2019,17.0,1.0
767,Mr,Male,Married,2020-01-22,2020-12-31,Inactive,Labour,Contarct Basis,Buddhist,Unskilled Labor,1993,,,,,,,,,2020,27.0,0.0
770,Mr,Male,Married,2020-02-12,2020-07-21,Inactive,Labour,Contarct Basis,Buddhist,Unskilled Labor,1964,,,,,,,,,2020,56.0,0.0
772,Mr,Male,Single,2020-01-01,2021-10-31,Inactive,Labour,Contarct Basis,Hindu,Unskilled Labor,1996,11.430632911392404,3.274753867791843,,,,,40439.2,0.0,2020,25.0,1.0
776,Mr,Male,Single,2019-10-28,2020-12-12,Inactive,Labour,Contarct Basis,Buddhist,Fitter,1997,,,,,,,52104.93,0.0,2019,23.0,1.0
777,Mr,Male,Single,2020-08-14,2020-09-22,Inactive,Labour,Contarct Basis,Buddhist,Unskilled Labor,2001,,,,,,,,,2020,19.0,0.0
778,Mr,Male,Married,2020-06-01,2022-06-08,Inactive,Labour,Contarct Basis,Buddhist,Unskilled Labor,1961,9.659635036496349,0.4997566909975669,,,,,29642.13333333333,0.0,2020,61.0,2.0
780,Mr,Male,Single,2019-12-20,2020-09-09,Inactive,Labour,Contarct Basis,Buddhist,Unskilled Labor,1999,,,,,,,,,2019,21.0,1.0
781,Mr,Male,Married,2019-01-01,2022-03-20,Inactive,Labour,Contarct Basis,Catholic,Unskilled Labor,1990,10.90864686468647,2.8615511551155115,,,,,28223.090909090908,0.0,2019,32.0,3.0
782,Mr,Male,Single,2020-03-11,,Active,Labour,Contarct Basis,Catholic,Unskilled Labor,2000,,,,,,,,,2020,,
783,Mr,Male,Single,2019-01-01,2022-01-09,Inactive,Labour,Contarct Basis,Hindu,Unskilled Labor,2000,10.909086021505376,0.3798387096774194,,,,,21852.0,0.0,2019,22.0,3.0
784,Mr,Male,Married,2019-01-01,2021-05-31,Inactive,Labour,Contarct Basis,Hindu,Unskilled Labor,1954,11.257936507936508,0.042063492063492,,,,,29940.0,0.0,2019,67.0,2.0
785,Mr,Male,Married,2019-01-01,2020-03-07,Inactive,Labour,Contarct Basis,Hindu,Unskilled Labor,1976,,,,,,,,,2019,44.0,1.0
788,Mr,Male,Married,2019-01-01,2021-05-31,Inactive,Labour,Contarct Basis,Catholic,Unskilled Labor,1961,10.056393442622952,2.187158469945356,,,,,13297.52,0.0,2019,60.0,2.0
789,Mr,Male,Single,2019-01-01,2020-03-06,Inactive,Labour,Contarct Basis,Hindu,Unskilled Labor,1996,,,,,,,,,2019,24.0,1.0
791,Mr,Male,Single,2019-02-01,2021-02-28,Inactive,Labour,Contarct Basis,Catholic,Unskilled Labor,2000,9.79,0.0,,,,,30543.0,0.0,2019,21.0,2.0
794,Mr,Male,Married,2019-07-01,2019-12-31,Inactive,Labour,Contarct Basis,Catholic,Unskilled Labor,1966,,,,,,,,,2019,53.0,0.0
796,Mr,Male,Single,2019-06-01,2020-07-31,Inactive,Labour,Contarct Basis,Hindu,Unskilled Labor,1995,,,,,,,,,2019,25.0,1.0
798,Mr,Male,Married,2018-12-15,2021-08-20,Inactive,Labour,Contarct Basis,Buddhist,Unskilled Labor,1993,8.868823529411765,5.2025054466230936,,,,,29654.93333333333,0.0,2018,28.0,3.0
799,Mr,Male,Married,2019-01-01,2020-07-31,Inactive,Labour,Contarct Basis,Buddhist,Unskilled Labor,1968,,,,,,,,,2019,52.0,1.0
801,Mr,Male,Single,2019-09-01,2021-09-21,Inactive,Labour,Contarct Basis,Buddhist,Unskilled Labor,1983,10.751635514018693,11.154283489096574,,,,,45925.8,0.0,2019,38.0,2.0
802,Mr,Male,Married,2019-06-01,2020-07-26,Inactive,Labour,Contarct Basis,Buddhist,Skilled Labor,1980,7.665,12.091666666666669,,,,,10000.0,0.0,2019,40.0,1.0
803,Mr,Male,Married,2019-10-27,2020-05-21,Inactive,Labour,Contarct Basis,Buddhist,Unskilled Labor,1992,,,,,,,,,2019,28.0,1.0
805,Mr,Male,Married,2021-02-01,2021-04-22,Inactive,Labour,Contarct Basis,Buddhist,Unskilled Labor,1995,12.102894736842105,4.006140350877193,,,,,25650.0,0.0,2021,26.0,0.0
806,Mr,Male,Single,2021-02-01,2021-04-22,Inactive,Labour,Contarct Basis,Buddhist,Unskilled Labor,1999,11.484,4.080555555555556,,,,,23624.0,0.0,2021,22.0,0.0
808,Mr,Male,Single,2020-06-01,,Active,Labour,Contarct Basis,Hindu,Security,1985,10.270374331550803,10.382620320855615,,,,,33907.62,0.0,2020,,
809,Mr,Male,Married,2019-07-01,2022-10-09,Inactive,Labour,Contarct Basis,Hindu,Unskilled Labor,1978,11.798247933884296,198.04421487603307,,,,,34391.73333333333,0.0,2019,44.0,3.0
810,Mr,Male,Married,2019-07-01,2021-08-20,Inactive,Labour,Contarct Basis,Hindu,Unskilled Labor,1960,9.452234042553192,12.861702127659576,,,,,23211.6,0.0,2019,61.0,2.0
